Fuel-type,Wheel-base,Length,Width,Height,Compression-ratio
gas,88.6,168.8,64.1,48.8,9
gas,88.6,168.8,64.1,48.8,9
gas,94.5,171.2,65.5,52.4,9
gas,99.8,176.6,66.2,54.3,10
gas,99.4,176.6,66.4,54.3,8
gas,99.8,177.3,66.3,53.1,8.5
gas,105.8,192.7,71.4,55.7,8.5
gas,105.8,192.7,71.4,55.7,8.5
gas,105.8,192.7,71.4,55.9,8.3
gas,99.5,178.2,67.9,52,7
gas,101.2,176.8,64.8,54.3,8.8
gas,101.2,176.8,64.8,54.3,8.8
gas,101.2,176.8,64.8,54.3,9
gas,101.2,176.8,64.8,54.3,9
gas,103.5,189,66.9,55.7,9
gas,103.5,189,66.9,55.7,8
gas,103.5,193.8,67.9,53.7,8
gas,110,197,70.9,56.3,8
gas,88.4,141.1,60.3,53.2,9.5
gas,94.5,155.9,63.6,52,9.6
gas,94.5,158.8,63.6,52,9.6
gas,93.7,157.3,63.8,50.8,9.41
gas,93.7,157.3,63.8,50.8,9.4
gas,93.7,157.3,63.8,50.8,7.6
gas,93.7,157.3,63.8,50.6,9.4
gas,93.7,157.3,63.8,50.6,9.4
gas,93.7,157.3,63.8,50.6,9.4
gas,93.7,157.3,63.8,50.6,7.6
gas,103.3,174.6,64.6,59.8,8.5
gas,95.9,173.2,66.3,50.2,7
gas,86.6,144.6,63.9,50.8,9.6
gas,86.6,144.6,63.9,50.8,9.2
gas,93.7,150,64,52.6,10.1
gas,93.7,150,64,52.6,9.2
gas,93.7,150,64,52.6,9.2
gas,96.5,163.4,64,54.5,9.2
gas,96.5,157.1,63.9,58.3,9.2
gas,96.5,167.5,65.2,53.3,9
gas,96.5,167.5,65.2,53.3,9
gas,96.5,175.4,65.2,54.1,9
gas,96.5,175.4,62.5,54.1,9
gas,96.5,175.4,65.2,54.1,9
gas,96.5,169.1,66,51,9.1
gas,94.3,170.7,61.8,53.5,8.5
gas,94.5,155.9,63.6,52,9.6
gas,94.5,155.9,63.6,52,9.6
gas,96,172.6,65.2,51.4,9.2
gas,113,199.6,69.6,52.8,8.1
gas,113,199.6,69.6,52.8,8.1
gas,102,191.7,70.6,47.8,11.5
gas,93.1,159.1,64.2,54.1,9
gas,93.1,159.1,64.2,54.1,9
gas,93.1,159.1,64.2,54.1,9
gas,93.1,166.8,64.2,54.1,9
gas,93.1,166.8,64.2,54.1,9
gas,95.3,169,65.7,49.6,9.4
gas,95.3,169,65.7,49.6,9.4
gas,95.3,169,65.7,49.6,9.4
gas,95.3,169,65.7,49.6,9.4
gas,98.8,177.8,66.5,53.7,8.6
gas,98.8,177.8,66.5,55.5,8.6
gas,98.8,177.8,66.5,53.7,8.6
gas,98.8,177.8,66.5,55.5,8.6
diesel,98.8,177.8,66.5,55.5,22.7
gas,98.8,177.8,66.5,55.5,8.6
gas,104.9,175,66.1,54.4,8
diesel,104.9,175,66.1,54.4,22
diesel,110,190.9,70.3,56.5,21.5
diesel,110,190.9,70.3,58.7,21.5
diesel,106.7,187.5,70.3,54.9,21.5
diesel,115.6,202.6,71.7,56.3,21.5
gas,115.6,202.6,71.7,56.5,8.3
gas,96.6,180.3,70.5,50.8,8.3
gas,120.9,208.1,71.7,56.7,8
gas,112,199.2,72,55.4,8
gas,102.7,178.4,68,54.8,8
gas,93.7,157.3,64.4,50.8,9.4
gas,93.7,157.3,64.4,50.8,9.4
gas,93.7,157.3,64.4,50.8,9.4
gas,93,157.3,63.8,50.8,7.6
gas,96.3,173,65.4,49.4,7.5
gas,96.3,173,65.4,49.4,8.5
gas,95.9,173.2,66.3,50.2,7
gas,95.9,173.2,66.3,50.2,7
gas,95.9,173.2,66.3,50.2,7
gas,96.3,172.4,65.4,51.6,8.5
gas,96.3,172.4,65.4,51.6,8.5
gas,96.3,172.4,65.4,51.6,7.5
gas,96.3,172.4,65.4,51.6,7.5
gas,94.5,165.3,63.8,54.5,9.4
diesel,94.5,165.3,63.8,54.5,21.9
gas,94.5,165.3,63.8,54.5,9.4
gas,94.5,165.3,63.8,54.5,9.4
gas,94.5,170.2,63.8,53.5,9.4
gas,94.5,165.3,63.8,54.5,9.4
gas,94.5,165.6,63.8,53.3,9.4
gas,94.5,165.3,63.8,54.5,9.4
gas,94.5,170.2,63.8,53.5,9.4
gas,95.1,162.4,63.8,53.3,9.4
gas,97.2,173.4,65.2,54.7,8.5
gas,97.2,173.4,65.2,54.7,8.5
gas,100.4,181.7,66.5,55.1,9
gas,100.4,184.6,66.5,56.1,9
gas,100.4,184.6,66.5,55.1,9
gas,91.3,170.7,67.9,49.7,9
gas,91.3,170.7,67.9,49.7,7.8
gas,99.2,178.5,67.9,49.7,9
gas,107.9,186.7,68.4,56.7,8.4
diesel,107.9,186.7,68.4,56.7,21
gas,114.2,198.9,68.4,58.7,8.4
diesel,114.2,198.9,68.4,58.7,21
gas,107.9,186.7,68.4,56.7,8.4
diesel,107.9,186.7,68.4,56.7,21
gas,114.2,198.9,68.4,56.7,8.4
diesel,114.2,198.9,68.4,58.7,21
gas,107.9,186.7,68.4,56.7,8.4
diesel,107.9,186.7,68.4,56.7,21
gas,108,186.7,68.3,56,7
gas,93.7,157.3,63.8,50.8,9.4
gas,93.7,157.3,63.8,50.8,7.6
gas,93.7,157.3,63.8,50.6,9.4
gas,93.7,167.3,63.8,50.8,9.4
gas,93.7,167.3,63.8,50.8,9.4
gas,103.3,174.6,64.6,59.8,8.5
gas,95.9,173.2,66.3,50.2,7
gas,94.5,168.9,68.3,50.2,9.5
gas,89.5,168.9,65,51.6,9.5
gas,89.5,168.9,65,51.6,9.5
gas,89.5,168.9,65,51.6,9.5
gas,98.4,175.7,72.3,50.5,10
gas,96.1,181.5,66.5,55.2,8.7
gas,96.1,176.8,66.6,50.5,8.7
gas,99.1,186.6,66.5,56.1,9.31
gas,99.1,186.6,66.5,56.1,9.3
gas,99.1,186.6,66.5,56.1,9.3
gas,99.1,186.6,66.5,56.1,9.3
gas,99.1,186.6,66.5,56.1,9
gas,99.1,186.6,66.5,56.1,9
gas,93.7,156.9,63.4,53.7,9
gas,93.7,157.9,63.6,53.7,8.7
gas,93.3,157.3,63.8,55.7,8.7
gas,97.2,172,65.4,52.5,9.5
gas,97.2,172,65.4,52.5,9.5
gas,97.2,172,65.4,52.5,9
gas,97,172,65.4,54.3,9
gas,97,172,65.4,54.3,7.7
gas,97,173.5,65.4,53,9
gas,97,173.5,65.4,53,9
gas,96.9,173.6,65.4,54.9,9
gas,96.9,173.6,65.4,54.9,7.7
gas,95.7,158.7,63.6,54.5,9
gas,95.7,158.7,63.6,54.5,9
gas,95.7,158.7,63.6,54.5,9
gas,95.7,169.7,63.6,59.1,9
gas,95.7,169.7,63.6,59.1,9
gas,95.7,169.7,63.6,59.1,9
gas,95.7,166.3,64.4,53,9
gas,95.7,166.3,64.4,52.8,9
diesel,95.7,166.3,64.4,53,22.5
diesel,95.7,166.3,64.4,52.8,22.5
gas,95.7,166.3,64.4,53,9
gas,95.7,166.3,64.4,52.8,9
gas,95.7,166.3,64.4,52.8,9
gas,94.5,168.7,64,52.6,9
gas,94.5,168.7,64,52.6,9
gas,94.5,168.7,64,52.6,9.4
gas,94.5,168.7,64,52.6,9.4
gas,98.4,176.2,65.6,52,9.3
gas,98.4,176.2,65.6,52,9.3
gas,98.4,176.2,65.6,52,9.3
gas,98.4,176.2,65.6,52,9.3
gas,98.4,176.2,65.6,52,9.3
gas,98.4,176.2,65.6,53,9.3
gas,102.4,175.6,66.5,54.9,8.7
diesel,102.4,175.6,66.5,54.9,22.5
gas,102.4,175.6,66.5,53.9,8.7
gas,102.4,175.6,66.5,54.9,8.7
gas,102.4,175.6,66.5,53.9,8.7
gas,102.9,183.5,67.7,52,9.3
gas,102.9,183.5,67.7,52,9.3
gas,104.5,187.8,66.5,54.1,9.2
gas,104.5,187.8,66.5,54.1,9.2
diesel,97.3,171.7,65.5,55.7,23
gas,97.3,171.7,65.5,55.7,9
diesel,97.3,171.7,65.5,55.7,23
gas,97.3,171.7,65.5,55.7,9
gas,97.3,171.7,65.5,55.7,9
diesel,97.3,171.7,65.5,55.7,23
gas,97.3,171.7,65.5,55.7,10
gas,94.5,159.3,64.2,55.6,8.5
gas,94.5,165.7,64,51.4,8.5
gas,100.4,180.2,66.9,55.1,8.5
diesel,100.4,180.2,66.9,55.1,23
gas,100.4,183.1,66.9,55.1,9
gas,104.3,188.8,67.2,56.2,9.5
gas,104.3,188.8,67.2,57.5,9.5
gas,104.3,188.8,67.2,56.2,9.5
gas,104.3,188.8,67.2,57.5,9.5
gas,104.3,188.8,67.2,56.2,7.5
gas,104.3,188.8,67.2,57.5,7.5
gas,109.1,188.8,68.9,55.5,9.5
gas,109.1,188.8,68.8,55.5,8.7
gas,109.1,188.8,68.9,55.5,8.8
diesel,109.1,188.8,68.9,55.5,23
gas,109.1,188.8,68.9,55.5,9.5
